,image,target
3417,./Resources/Train/WithMask/Augmented_605_5574958.png,mask
4092,./Resources/Train/WithMask/Augmented_731_1256105.png,mask
8594,./Resources/faces/1 (4122).jpg,without_mask
7568,./Resources/faces/1 (3217).jpg,without_mask
4677,./Resources/Train/WithMask/Augmented_843_7119289.png,mask
7968,./Resources/faces/1 (3572).jpg,without_mask
11710,./Resources/faces/1 (6877).jpg,without_mask
7731,./Resources/faces/1 (3362).jpg,without_mask
5013,./Resources/faces/1 (1005).jpg,without_mask
8507,./Resources/faces/1 (4046).jpg,without_mask
197,./Resources/Train/WithMask/1385.png,mask
5031,./Resources/faces/1 (102).png,without_mask
1627,./Resources/Train/WithMask/Augmented_264_5252683.png,mask
10047,./Resources/faces/1 (5405).jpg,without_mask
938,./Resources/Train/WithMask/Augmented_135_8039476.png,mask
348,./Resources/Train/WithMask/1730.png,mask
7283,./Resources/faces/1 (2969).jpg,without_mask
11022,./Resources/faces/1 (6268).jpg,without_mask
11056,./Resources/faces/1 (6299).jpg,without_mask
4961,./Resources/Train/WithMask/Augmented_92_7326914.png,mask
4115,./Resources/Train/WithMask/Augmented_735_2497095.png,mask
7793,./Resources/faces/1 (3416).jpg,without_mask
4428,./Resources/Train/WithMask/Augmented_795_8710312.png,mask
3570,./Resources/Train/WithMask/Augmented_634_1003767.png,mask
6978,./Resources/faces/1 (27).jpeg,without_mask
972,./Resources/Train/WithMask/Augmented_141_4153877.png,mask
9694,./Resources/faces/1 (5095).jpg,without_mask
6430,./Resources/faces/1 (2212).jpg,without_mask
4541,./Resources/Train/WithMask/Augmented_817_9550567.png,mask
5682,./Resources/faces/1 (1553).jpg,without_mask
7462,./Resources/faces/1 (3123).jpg,without_mask
464,./Resources/Train/WithMask/325.png,mask
3323,./Resources/Train/WithMask/Augmented_588_9959121.png,mask
7765,./Resources/faces/1 (3393).jpg,without_mask
10544,./Resources/faces/1 (5847).jpg,without_mask
5982,./Resources/faces/1 (1818).jpg,without_mask
8048,./Resources/faces/1 (3642).jpg,without_mask
1026,./Resources/Train/WithMask/Augmented_152_3104458.png,mask
5702,./Resources/faces/1 (1571).jpg,without_mask
1643,./Resources/Train/WithMask/Augmented_267_2873221.png,mask
9544,./Resources/faces/1 (4964).jpg,without_mask
6235,./Resources/faces/1 (204).jpg,without_mask
12112,./Resources/faces/1 (91).png,without_mask
7786,./Resources/faces/1 (341).jpg,without_mask
6035,./Resources/faces/1 (1866).jpg,without_mask
142,./Resources/Train/WithMask/1273.png,mask
8770,./Resources/faces/1 (428).jpg,without_mask
3141,./Resources/Train/WithMask/Augmented_551_2469008.png,mask
321,./Resources/Train/WithMask/1686.png,mask
4419,./Resources/Train/WithMask/Augmented_793_6427053.png,mask
1188,./Resources/Train/WithMask/Augmented_183_1900906.png,mask
5249,./Resources/faces/1 (12).jpeg,without_mask
11503,./Resources/faces/1 (6694).jpg,without_mask
6436,./Resources/faces/1 (2218).jpg,without_mask
1926,./Resources/Train/WithMask/Augmented_321_6982087.png,mask
10856,./Resources/faces/1 (612).jpg,without_mask
2408,./Resources/Train/WithMask/Augmented_411_7447298.png,mask
3835,./Resources/Train/WithMask/Augmented_683_957033.png,mask
5617,./Resources/faces/1 (1499).jpg,without_mask
2295,./Resources/Train/WithMask/Augmented_390_8078542.png,mask
5241,./Resources/faces/1 (1192).jpg,without_mask
4132,./Resources/Train/WithMask/Augmented_738_9201314.png,mask
9576,./Resources/faces/1 (4993).jpg,without_mask
2212,./Resources/Train/WithMask/Augmented_376_5622396.png,mask
924,./Resources/Train/WithMask/Augmented_133_5727134.png,mask
5501,./Resources/faces/1 (1401).jpg,without_mask
6358,./Resources/faces/1 (215).jpg,without_mask
6017,./Resources/faces/1 (185).jpg,without_mask
6711,./Resources/faces/1 (2462).jpg,without_mask
4415,./Resources/Train/WithMask/Augmented_792_98590.png,mask
11548,./Resources/faces/1 (6732).jpg,without_mask
7742,./Resources/faces/1 (3372).jpg,without_mask
10242,./Resources/faces/1 (558).jpg,without_mask
1326,./Resources/Train/WithMask/Augmented_209_61100.png,mask
12153,./Resources/faces/1 (944).jpg,without_mask
8708,./Resources/faces/1 (4223).jpg,without_mask
4227,./Resources/Train/WithMask/Augmented_756_4018861.png,mask
11093,./Resources/faces/1 (633).jpg,without_mask
7570,./Resources/faces/1 (3219).jpg,without_mask
2128,./Resources/Train/WithMask/Augmented_35_8421825.png,mask
9724,./Resources/faces/1 (512).jpg,without_mask
9831,./Resources/faces/1 (5214).jpg,without_mask
1663,./Resources/Train/WithMask/Augmented_271_1136408.png,mask
748,./Resources/Train/WithMask/Augmented_0_3839025.png,mask
1934,./Resources/Train/WithMask/Augmented_323_6327845.png,mask
